Bone Rush	Ground	Physical	25	90	10	Hits 2-5 times in one turn.	0
Bonemerang	Ground	Physical	50	90	10	Hits twice in one turn.	0
Boomburst	Normal	Special	140	100	10	Hits all adjacent Pokémon.	0
Bounce	Flying	Physical	85	85	5	Springs up on first turn, attacks on second. May paralyze opponent.	30
Bouncy Bubble	Water	Special	90	100	15	User recovers half the HP inflicted on opponent.	0
Brave Bird	Flying	Physical	120	100	15	User receives recoil damage.	0
Breakneck Blitz	Normal	Special	0	0	1	Normal type Z-Move.	0
Brick Break	Fighting	Physical	75	100	15	Breaks through Reflect and Light Screen barriers.	0
Brine	Water	Special	65	100	10	Power doubles if opponent's HP is less than 50%.	0
Brutal Swing	Dark	Physical	60	100	20	The user swings its body around violently to inflict damage on everything in its vicinity.	0
Bubble	Water	Special	40	100	30	May lower opponent's Speed.	10
Bubble Beam	Water	Special	65	100	20	May lower opponent's Speed.	10
Bug Bite	Bug	Physical	60	100	20	Receives the effect from the opponent's held berry.	0
Bug Buzz	Bug	Special	90	100	10	May lower opponent's Special Defense.	10
Bulk Up	Fighting	Status	0	0	20	Raises user's Attack and Defense.	0
Bulldoze	Ground	Physical	60	100	20	Lowers opponent's Speed.	100
Bullet Punch	Steel	Physical	40	100	30	User attacks first.	0
Bullet Seed	Grass	Physical	25	100	30	Hits 2-5 times in one turn.	0
Burn Up	Fire	Special	130	100	5	To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.	0
Buzzy Buzz	Electric	Special	90	100	15	Paralyzes the opponent.	100
Calm Mind	Psychic	Status	0	0	20	Raises user's Special Attack and Special Defense.	0
Camouflage	Normal	Status	0	0	20	Changes user's type according to the location.	0
Captivate	Normal	Status	0	100	20	Sharply lowers opponent's Special Attack if opposite gender.	0
Catastropika	Electric	Physical	210	0	1	Pikachu-exclusive Z-Move.	0
Celebrate	Normal	Status	0	0	40	The Pokémon congratulates you on your special day. No battle effect.	0
Charge	Electric	Status	0	0	20	Raises user's Special Defense and next Electric move's power increases.	0
Charge Beam	Electric	Special	50	90	10	May raise user's Special Attack.	70
Charm	Fairy	Status	0	100	20	Sharply lowers opponent's Attack.	0
Chatter	Flying	Special	65	100	20	Confuses opponent.	100
Chip Away	Normal	Physical	70	100	20	Ignores opponent's stat changes.	0
Circle Throw	Fighting	Physical	60	90	10	In battles, the opponent switches. In the wild, the Pokémon runs.	0
Clamp	Water	Physical	35	85	10	Traps opponent, damaging them for 4-5 turns.	0
Clanging Scales	Dragon	Special	110	100	5	Lowers user's Defense.	0
Clangorous Soulblaze	Dragon	Special	185	0	1	Kommo-o exclusive Z-Move.	0
Clear Smog	Poison	Special	50	0	15	Removes all of the target's stat changes.	0
Close Combat	Fighting	Physical	120	100	5	Lowers user's Defense and Special Defense.	0
Coil	Poison	Status	0	0	20	Raises user's Attack, Defense and Accuracy.	0
Comet Punch	Normal	Physical	18	85	15	Hits 2-5 times in one turn.	0
Confide	Normal	Status	0	0	20	Lowers opponent's Special Attack.	0
Confuse Ray	Ghost	Status	0	100	10	Confuses opponent.	0
Confusion	Psychic	Special	50	100	25	May confuse opponent.	10
Constrict	Normal	Physical	10	100	35	May lower opponent's Speed by one stage.	10
Continental Crush	Rock	Special	0	0	1	Rock type Z-Move.	0
Conversion	Normal	Status	0	0	30	Changes user's type to that of its first move.	0
Conversion 2	Normal	Status	0	0	30	User changes type to become resistant to opponent's last move.	0
Copycat	Normal	Status	0	0	20	Copies opponent's last move.	0
Core Enforcer	Dragon	Special	100	100	10	Scorches a 'Z' pattern on the ground.	0
Corkscrew Crash	Steel	Special	0	0	1	Steel type Z-Move.	0
Cosmic Power	Psychic	Status	0	0	20	Raises user's Defense and Special Defense.	0
Cotton Guard	Grass	Status	0	0	10	Drastically raises user's Defense.	0
Cotton Spore	Grass	Status	0	100	40	Sharply lowers opponent's Speed.	0
Counter	Fighting	Physical	0	100	20	When hit by a Physical Attack, user strikes back with 2x power.	0
Covet	Normal	Physical	60	100	25	Opponent's item is stolen by the user.	0
Crabhammer	Water	Physical	100	90	10	High critical hit ratio.	0
Crafty Shield	Fairy	Status	0	0	10	Protects the Pokémon from status moves.	0
Cross Chop	Fighting	Physical	100	80	5	High critical hit ratio.	0
Cross Poison	Poison	Physical	70	100	20	High critical hit ratio. May poison opponent.	10
Crunch	Dark	Physical	80	100	15	May lower opponent's Defense.	20
Crush Claw	Normal	Physical	75	95	10	May lower opponent's Defense.	50
Crush Grip	Normal	Physical	0	100	5	More powerful when opponent has higher HP.	0
Curse	Ghost	Status	0	0	10	Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.	0
Cut	Normal	Physical	50	95	30		0
Dark Pulse	Dark	Special	80	100	15	May cause flinching.	20
Dark Void	Dark	Status	0	50	10	Puts all adjacent opponents to sleep.	0
Darkest Lariat	Dark	Physical	85	100	10	Ignores opponent's stat changes.	0
Dazzling Gleam	Fairy	Special	80	100	10	Hits all adjacent opponents.	0
Defend Order	Bug	Status	0	0	10	Raises user's Defense and Special Defense.	0
Defense Curl	Normal	Status	0	0	40	Raises user's Defense.	0
Defog	Flying	Status	0	0	15	Lowers opponent's Evasiveness and clears fog.	0
Destiny Bond	Ghost	Status	0	0	5	If the user faints, the opponent also faints.	0
Detect	Fighting	Status	0	0	5	Protects the user, but may fail if used consecutively.	0
Devastating Drake	Dragon	Special	0	0	1	Dragon type Z-Move.	0
Diamond Storm	Rock	Physical	100	95	5	May raise user's Defense	50
Dig	Ground	Physical	80	100	10	Digs underground on first turn, attacks on second. Can also escape from caves.	0
Disable	Normal	Status	0	100	20	Opponent can't use its last attack for a few turns.	0
Disarming Voice	Fairy	Special	40	∞	15	Ignores Accuracy and Evasiveness.	0
Discharge	Electric	Special	80	100	15	May paralyze opponent.	30
Dive	Water	Physical	80	100	10	Dives underwater on first turn, attacks on second turn.	0
Dizzy Punch	Normal	Physical	70	100	10	May confuse opponent.	20
Doom Desire	Steel	Special	140	100	5	Damage occurs 2 turns later.	0
Double Hit	Normal	Physical	35	90	10	Hits twice in one turn.	0
Double Iron Bash	Steel	Physical	60	100	5	Hits twice in one turn; may cause flinching.	0
Double Kick	Fighting	Physical	30	100	30	Hits twice in one turn.	0
Double Slap	Normal	Physical	15	85	10	Hits 2-5 times in one turn.	0
Double Team	Normal	Status	0	0	15	Raises user's Evasiveness.	0
Double-Edge	Normal	Physical	120	100	15	User receives recoil damage.	0
Draco Meteor	Dragon	Special	130	90	5	Sharply lowers user's Special Attack.	0
Dragon Ascent	Flying	Physical	120	100	5	Lowers user's Defense and Special Defense.	0
Dragon Breath	Dragon	Special	60	100	20	May paralyze opponent.	30
Dragon Claw	Dragon	Physical	80	100	15		0
Dragon Dance	Dragon	Status	0	0	20	Raises user's Attack and Speed.	0
Dragon Hammer	Dragon	Physical	90	100	15	The user uses its body like a hammer to attack the target and inflict damage.	0
Dragon Pulse	Dragon	Special	85	100	10		0
Dragon Rage	Dragon	Special	0	100	10	Always inflicts 40 HP.	0
Dragon Rush	Dragon	Physical	100	75	10	May cause flinching.	20
Dragon Tail	Dragon	Physical	60	90	10	In battles, the opponent switches. In the wild, the Pokémon runs.	0
Drain Punch	Fighting	Physical	75	100	10	User recovers half the HP inflicted on opponent.	0
Draining Kiss	Fairy	Special	50	100	10	User recovers most the HP inflicted on opponent.	0
Dream Eater	Psychic	Special	100	100	15	User recovers half the HP inflicted on a sleeping opponent.	0
Drill Peck	Flying	Physical	80	100	20		0
Drill Run	Ground	Physical	80	95	10	High critical hit ratio.	0
Dual Chop	Dragon	Physical	40	90	15	Hits twice in one turn.	0
Dynamic Punch	Fighting	Physical	100	50	5	Confuses opponent.	100
Earth Power	Ground	Special	90	100	10	May lower opponent's Special Defense.	10
Earthquake	Ground	Physical	100	100	10	Power is doubled if opponent is underground from using Dig.	0
Echoed Voice	Normal	Special	40	100	15	Power increases each turn.	0
Eerie Impulse	Electric	Status	0	100	15	Sharply lowers opponent's Special Attack.	0
Egg Bomb	Normal	Physical	100	75	10		0
Electric Terrain	Electric	Status	0	0	10	Prevents all Pokémon from falling asleep for 5 turns.	0
Electrify	Electric	Status	0	0	20	Changes the target's move to Electric type.	0
Electro Ball	Electric	Special	0	100	10	The faster the user, the stronger the attack.	0
Electroweb	Electric	Special	55	95	15	Lowers opponent's Speed.	100
Embargo	Dark	Status	0	100	15	Opponent cannot use items.	0
Ember	Fire	Special	40	100	25	May burn opponent.	10
Encore	Normal	Status	0	100	5	Forces opponent to keep using its last move for 3 turns.	0
Endeavor	Normal	Physical	0	100	5	Reduces opponent's HP to same as user's.	0
Endure	Normal	Status	0	0	10	Always left with at least 1 HP, but may fail if used consecutively.	0
Energy Ball	Grass	Special	90	100	10	May lower opponent's Special Defense.	10
Entrainment	Normal	Status	0	100	15	Makes target's ability same as user's.	0
Eruption	Fire	Special	150	100	5	Stronger when the user's HP is higher.	0
Explosion	Normal	Physical	250	100	5	User faints.	0
Extrasensory	Psychic	Special	80	100	20	May cause flinching.	10
Extreme Evoboost	Normal	Status	0	0	1	Eevee-exclusive Z-Move. Sharply raises all stats.	0
Extreme Speed	Normal	Physical	80	100	5	User attacks first.	0
Facade	Normal	Physical	70	100	20	Power doubles if user is burned, poisoned, or paralyzed.	0
Fairy Lock	Fairy	Status	0	0	10	Prevents fleeing in the next turn.	0
Fairy Wind	Fairy	Special	40	100	30		0
Fake Out	Normal	Physical	40	100	10	User attacks first, foe flinches. Only usable on first turn.	100
Fake Tears	Dark	Status	0	100	20	Sharply lowers opponent's Special Defense.	0
False Swipe	Normal	Physical	40	100	40	Always leaves opponent with at least 1 HP.	0
Feather Dance	Flying	Status	0	100	15	Sharply lowers opponent's Attack.	0
Feint	Normal	Physical	30	100	10	Only hits if opponent uses Protect or Detect in the same turn.	0
Feint Attack	Dark	Physical	60	∞	20	Ignores Accuracy and Evasiveness.	0
Fell Stinger	Bug	Physical	50	100	25	Drastically raises user's Attack if target is KO'd.	0
Fiery Dance	Fire	Special	80	100	10	May raise user's Special Attack.	50
Final Gambit	Fighting	Special	0	100	5	Inflicts damage equal to the user's remaining HP. User faints.	0
Fire Blast	Fire	Special	110	85	5	May burn opponent.	10
Fire Fang	Fire	Physical	65	95	15	May cause flinching and/or burn opponent.	10
Fire Lash	Fire	Physical	80	100	15	The user strikes the target with a burning lash. This also lowers the target's Defense stat.	0
Fire Pledge	Fire	Special	80	100	10	Added effects appear if combined with Grass Pledge or Water Pledge.	0
Fire Punch	Fire	Physical	75	100	15	May burn opponent.	10
Fire Spin	Fire	Special	35	85	15	Traps opponent, damaging them for 4-5 turns.	0
First Impression	Bug	Physical	90	100	10	Although this move has great power, it only works the first turn the user is in battle.	0
Fissure	Ground	Physical	0	0	5	One-Hit-KO, if it hits.	0
Flail	Normal	Physical	0	100	15	The lower the user's HP, the higher the power.	0
Flame Burst	Fire	Special	70	100	15	May also injure nearby Pokémon.	0
Flame Charge	Fire	Physical	50	100	20	Raises user's Speed.	100
Flame Wheel	Fire	Physical	60	100	25	May burn opponent.	10
Flamethrower	Fire	Special	90	100	15	May burn opponent.	10
Flare Blitz	Fire	Physical	120	100	15	User receives recoil damage. May burn opponent.	10
Flash	Normal	Status	0	100	20	Lowers opponent's Accuracy.	0
Flash Cannon	Steel	Special	80	100	10	May lower opponent's Special Defense.	10
Flatter	Dark	Status	0	100	15	Confuses opponent, but raises its Special Attack by two stages.	0
Fleur Cannon	Fairy	Special	130	90	5	Sharply lowers user's Special Attack.	0
Fling	Dark	Physical	0	100	10	Power depends on held item.	0
Floaty Fall	Flying	Physical	90	95	15	May cause flinching.	30
Floral Healing	Fairy	Status	0	0	10	The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.	0
Flower Shield	Fairy	Status	0	0	10	Sharply raises Defense of all Grass-type Pokémon on the field.	0
Fly	Flying	Physical	90	95	15	Flies up on first turn, attacks on second turn.	0
Flying Press	Fighting	Physical	100	95	10	Deals Fighting and Flying type damage.	0
Focus Blast	Fighting	Special	120	70	5	May lower opponent's Special Defense.	10
Focus Energy	Normal	Status	0	0	30	Increases critical hit ratio.	0
Focus Punch	Fighting	Physical	150	100	20	If the user is hit before attacking, it flinches instead.	0
Follow Me	Normal	Status	0	0	20	In Double Battle, the user takes all the attacks.	0
Force Palm	Fighting	Physical	60	100	10	May paralyze opponent.	30
Foresight	Normal	Status	0	0	40	Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.	0
Forest's Curse	Grass	Status	0	100	20	Adds Grass type to opponent.	0
Foul Play	Dark	Physical	95	100	15	Uses the opponent's Attack stat.	0
Freeze Shock	Ice	Physical	140	90	5	Charges on first turn, attacks on second. May paralyze opponent.	30
Freeze-Dry	Ice	Special	70	100	20	May freeze opponent. Super-effective against Water types.	0
Freezy Frost	Ice	Special	90	100	15	Resets all stat changes.	0
Frenzy Plant	Grass	Special	150	90	5	User must recharge next turn.	0
Frost Breath	Ice	Special	60	90	10	Always results in a critical hit.	100
Frustration	Normal	Physical	0	100	20	Power decreases with higher Friendship.	0
Fury Attack	Normal	Physical	15	85	20	Hits 2-5 times in one turn.	0
Fury Cutter	Bug	Physical	40	95	20	Power increases each turn.	0
Fury Swipes	Normal	Physical	18	80	15	Hits 2-5 times in one turn.	0
Fusion Bolt	Electric	Physical	100	100	5	Power increases if Fusion Flare is used in the same turn.	0
Fusion Flare	Fire	Special	100	100	5	Power increases if Fusion Bolt is used in the same turn.	0
Future Sight	Psychic	Special	120	100	10	Damage occurs 2 turns later.	0
Gastro Acid	Poison	Status	0	100	10	Cancels out the effect of the opponent's Ability.	0
Gear Grind	Steel	Physical	50	85	15	Hits twice in one turn.	0
Gear Up	Steel	Status	0	0	20	The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.	0
Genesis Supernova	Psychic	Special	185	0	1	Mew-exclusive Z-Move.	0
Geomancy	Fairy	Status	0	0	10	Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.	0
Giga Drain	Grass	Special	75	100	10	User recovers half the HP inflicted on opponent.	0
Giga Impact	Normal	Physical	150	90	5	User must recharge next turn.	0
Gigavolt Havoc	Electric	Special	0	0	1	Electric type Z-Move.	0
Glaciate	Ice	Special	65	95	10	Lowers opponent's Speed.	100
Glare	Normal	Status	0	100	30	Paralyzes opponent.	0
Glitzy Glow	Psychic	Special	90	100	15	Reduces damage from Special attacks.	0
Grass Knot	Grass	Special	0	100	20	The heavier the opponent, the stronger the attack.	0
Grass Pledge	Grass	Special	80	100	10	Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.	0
Grass Whistle	Grass	Status	0	55	15	Puts opponent to sleep.	0
Grassy Terrain	Grass	Status	0	0	10	Restores a little HP of all Pokémon for 5 turns. 	0
Gravity	Psychic	Status	0	0	5	Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.	0
Growl	Normal	Status	0	100	40	Lowers opponent's Attack.	0
Growth	Normal	Status	0	0	40	Raises user's Attack and Special Attack.	0
Grudge	Ghost	Status	0	0	5	If the users faints after using this move, the PP for the opponent's last move is depleted.	0
Guard Split	Psychic	Status	0	0	10	Averages Defense and Special Defense with the target.	0
Guard Swap	Psychic	Status	0	0	10	User and opponent swap Defense and Special Defense.	0
Guardian of Alola	Fairy	Special	0	0	1	Tapu-exclusive Z-move. Cuts opponent's HP by 75%.	0
Guillotine	Normal	Physical	0	0	5	One-Hit-KO, if it hits.	0
Gunk Shot	Poison	Physical	120	80	5	May poison opponent.	30
Gust	Flying	Special	40	100	35	Hits Pokémon using Fly/Bounce with double power.	0
Gyro Ball	Steel	Physical	0	100	5	The slower the user, the stronger the attack.	0
Hail	Ice	Status	0	0	10	Non-Ice types are damaged for 5 turns.	0
Hammer Arm	Fighting	Physical	100	90	10	Lowers user's Speed.	0
Happy Hour	Normal	Status	0	0	30	Doubles prize money from trainer battles.	0
Harden	Normal	Status	0	0	30	Raises user's Defense.	0
Haze	Ice	Status	0	0	30	Resets all stat changes.	0
Head Charge	Normal	Physical	120	100	15	User receives recoil damage.	0
Head Smash	Rock	Physical	150	80	5	User receives recoil damage.	0
Headbutt	Normal	Physical	70	100	15	May cause flinching.	30
Heal Bell	Normal	Status	0	0	5	Heals the user's party's status conditions.	0
Heal Block	Psychic	Status	0	0	15	Prevents the opponent from restoring HP for 5 turns.	0
Heal Order	Bug	Status	0	0	10	User recovers half its max HP.	0
Heal Pulse	Psychic	Status	0	0	10	Restores half the target's max HP.	0
Healing Wish	Psychic	Status	0	0	10	The user faints and the next Pokémon released is fully healed.	0
Heart Stamp	Psychic	Physical	60	100	25	May cause flinching.	30
Heart Swap	Psychic	Status	0	0	10	Stat changes are swapped with the opponent.	0
Heat Crash	Fire	Physical	0	100	10	The heavier the user, the stronger the attack.	0
Heat Wave	Fire	Special	95	90	10	May burn opponent.	10
Heavy Slam	Steel	Physical	0	100	10	The heavier the user, the stronger the attack.	0
Helping Hand	Normal	Status	0	0	20	In Double Battles, boosts the power of the partner's move.	0
Hex	Ghost	Special	65	100	10	Inflicts more damage if the target has a status condition.	0
Hidden Power	Normal	Special	60	100	15	Type and power depends on user's IVs.	0
High Horsepower	Ground	Physical	95	95	10	The user fiercely attacks the target using its entire body.	0
High Jump Kick	Fighting	Physical	130	90	10	If it misses, the user loses half their HP.	0
Hold Back	Normal	Physical	40	100	40	Always leaves opponent with at least 1 HP.	0
Hold Hands	Normal	Status	0	0	40	Makes the user and an ally very happy.	0
Hone Claws	Dark	Status	0	0	15	Raises user's Attack and Accuracy.	0
Horn Attack	Normal	Physical	65	100	25		0
Horn Drill	Normal	Physical	0	0	5	One-Hit-KO, if it hits.	0
Horn Leech	Grass	Physical	75	100	10	User recovers half the HP inflicted on opponent.	0
Howl	Normal	Status	0	0	40	Raises user's Attack.	0
Hurricane	Flying	Special	110	70	10	May confuse opponent.	30
Hydro Cannon	Water	Special	150	90	5	User must recharge next turn.	0
Hydro Pump	Water	Special	110	80	5		0
Hydro Vortex	Water	Special	0	0	1	Water type Z-Move.	0
Hyper Beam	Normal	Special	150	90	5	User must recharge next turn.	0
Hyper Fang	Normal	Physical	80	90	15	May cause flinching.	10
Hyper Voice	Normal	Special	90	100	10		0
Hyperspace Fury	Dark	Physical	100	∞	5	Lowers user's Defense. Can strike through Protect/Detect.	0
Hyperspace Hole	Psychic	Special	80	∞	5	Can strike through Protect/Detect.	0
Hypnosis	Psychic	Status	0	60	20	Puts opponent to sleep.	0
Ice Ball	Ice	Physical	30	90	20	Doubles in power each turn for 5 turns.	0
Ice Beam	Ice	Special	90	100	10	May freeze opponent.	10
Ice Burn	Ice	Special	140	90	5	Charges on first turn, attacks on second. May burn opponent.	30
Ice Fang	Ice	Physical	65	95	15	May cause flinching and/or freeze opponent.	10
Ice Hammer	Ice	Physical	100	90	10	The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.	0
Ice Punch	Ice	Physical	75	100	15	May freeze opponent.	10
Ice Shard	Ice	Physical	40	100	30	User attacks first.	0
Icicle Crash	Ice	Physical	85	90	10	May cause flinching.	30
Icicle Spear	Ice	Physical	25	100	30	Hits 2-5 times in one turn.	0
Icy Wind	Ice	Special	55	95	15	Lowers opponent's Speed.	100
Imprison	Psychic	Status	0	0	10	Opponent is unable to use moves that the user also knows.	0
Incinerate	Fire	Special	60	100	15	Destroys the target's held berry.	0
Inferno	Fire	Special	100	50	5	Burns opponent.	100
Inferno Overdrive	Fire	Special	0	0	1	Fire type Z-Move.	0
Infestation	Bug	Special	20	100	20	Traps opponent, damaging them for 4-5 turns.	0
Ingrain	Grass	Status	0	0	20	User restores HP each turn. User cannot escape/switch.	0
Instruct	Psychic	Status	0	0	15	Allows an ally to use a move instead.	0
Ion Deluge	Electric	Status	0	0	25	Changes Normal-type moves to Electric-type.	0
Iron Defense	Steel	Status	0	0	15	Sharply raises user's Defense.	0
Iron Head	Steel	Physical	80	100	15	May cause flinching.	30
Iron Tail	Steel	Physical	100	75	15	May lower opponent's Defense.	10
Judgment	Normal	Special	100	100	10	Type depends on the Arceus Plate being held.	0
Jump Kick	Fighting	Physical	100	95	10	If it misses, the user loses half their HP.	0
Karate Chop	Fighting	Physical	50	100	25	High critical hit ratio.	0
Kinesis	Psychic	Status	0	80	15	Lowers opponent's Accuracy.	0
King's Shield	Steel	Status	0	0	10	Protects the user and lowers opponent's Attack on contact.	0
Knock Off	Dark	Physical	65	100	20	Removes opponent's held item for the rest of the battle.	0
Land's Wrath	Ground	Physical	90	100	10		0
Laser Focus	Normal	Status	0	0	30	User's next attack is guaranteed to result in a critical hit.	0
Last Resort	Normal	Physical	140	100	5	Can only be used after all other moves are used.	0
Lava Plume	Fire	Special	80	100	15	May burn opponent.	30
Leaf Blade	Grass	Physical	90	100	15	High critical hit ratio.	0
Leaf Storm	Grass	Special	130	90	5	Sharply lowers user's Special Attack.	0
Leaf Tornado	Grass	Special	65	90	10	May lower opponent's Accuracy.	30
Leafage	Grass	Physical	40	100	40	Strikes opponent with leaves.	0
Leech Life	Bug	Physical	80	100	10	User recovers half the HP inflicted on opponent.	0
Leech Seed	Grass	Status	0	90	10	Drains HP from opponent each turn.	0
Leer	Normal	Status	0	100	30	Lowers opponent's Defense.	0
Let's Snuggle Forever	Fairy	Physical	190	0	1	Mimikyu-exclusive Z-Move.	0
Lick	Ghost	Physical	30	100	30	May paralyze opponent.	30
Light of Ruin	Fairy	Special	140	90	5	User receives recoil damage.	0
Light Screen	Psychic	Status	0	0	30	Halves damage from Special attacks for 5 turns.	0
Light That Burns the Sky	Psychic	Special	200	0	1	Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.	0
Liquidation	Water	Physical	85	100	10	The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.	0
Lock-On	Normal	Status	0	0	5	User's next attack is guaranteed to hit.	0
Lovely Kiss	Normal	Status	0	75	10	Puts opponent to sleep.	0
Low Kick	Fighting	Physical	0	100	20	The heavier the opponent, the stronger the attack.	0
Low Sweep	Fighting	Physical	65	100	20	Lowers opponent's Speed.	100
Lucky Chant	Normal	Status	0	0	30	Opponent cannot land critical hits for 5 turns.	0
Lunar Dance	Psychic	Status	0	0	10	The user faints but the next Pokémon released is fully healed.	0
Lunge	Bug	Physical	80	100	15	The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.	0
Luster Purge	Psychic	Special	70	100	5	May lower opponent's Special Defense.	50
Mach Punch	Fighting	Physical	40	100	30	User attacks first.	0
Magic Coat	Psychic	Status	0	0	15	Reflects moves that cause status conditions back to the attacker.	0
Magic Room	Psychic	Status	0	0	10	Suppresses the effects of held items for five turns.	0
Magical Leaf	Grass	Special	60	∞	20	Ignores Accuracy and Evasiveness.	0
Magma Storm	Fire	Special	100	75	5	Traps opponent, damaging them for 4-5 turns.	0
Magnet Bomb	Steel	Physical	60	∞	20	Ignores Accuracy and Evasiveness.	0
Magnet Rise	Electric	Status	0	0	10	User becomes immune to Ground-type moves for 5 turns.	0
Magnetic Flux	Electric	Status	0	0	20	Raises Defense and Sp. Defense of Plus/Minus Pokémon.	0
Magnitude	Ground	Physical	0	100	30	Hits with random power.	0
Malicious Moonsault	Dark	Physical	180	0	1	Incineroar-exclusive Z-Move.	0
Mat Block	Fighting	Status	0	0	10	Protects teammates from damaging moves.	0
